iteration,execution_time_ms
1,2047.4088999908417
2,2005.7187999482267
3,2014.6773000014946
4,2015.2736000018194
5,1998.8049999810755
6,2014.4751999760047
7,1828.1179000041448
8,2050.5190000403672
9,1993.643899972085
10,2060.2518999949098
11,1976.9066000008024
12,2043.090699997265
13,2062.2686000424437
14,1951.094500022009
15,2006.6866000415757
16,2051.1126999626867
17,2043.196800048463
18,1875.710699998308
19,2117.6789000164717
20,2025.3535999800079
21,2125.4014000296593
22,1879.7759000444785
23,2022.6926000323147
24,1998.0705000343733
25,1967.4094999791123
26,1730.2550000022165
27,1934.2918999609537
28,2078.248200006783
29,2086.0522000002675
30,2100.6250000209548
31,2060.8114000060596
