iteration,execution_time_ms
1,5080.788850784302
2,6011.90972328186
3,6650.333642959595
4,5607.233285903931
5,6002.654552459717
6,5288.208246231079
7,5222.654342651367
8,5060.848951339722
9,5044.117450714111
10,4968.677759170532
11,5112.251758575439
12,4995.303630828857
13,5093.728303909302
14,5020.577192306519
15,5077.171325683594
16,5026.18145942688
17,5143.271446228027
18,5386.86203956604
19,5138.104438781738
20,5263.683795928955
21,5314.563512802124
22,5021.9292640686035
23,5102.452993392944
24,5040.48490524292
25,5077.426195144653
26,5078.255414962769
27,5055.2873611450195
28,4974.522113800049
29,5105.17954826355
30,5130.823612213135
