iteration,execution_time_ms
1,3861.454100057017
2,3886.228099989239
3,3756.964699947275
4,3881.2693000072613
5,4008.310600009281
6,4120.947699993849
7,4081.1092000221834
8,4138.328299974091
9,4193.682599987369
10,4121.358699980192
11,3951.3047999935225
12,3934.6077000373043
13,4161.997199989855
14,3915.9770000260323
15,4075.8159999968484
16,4150.029000011273
17,4075.8988999878056
18,4004.7962000244297
19,4172.734099964146
20,4046.694100019522
21,4020.74010000797
22,4151.077299960889
23,4135.2531999582425
24,4007.2137999814004
25,3945.1045999885537
26,4006.2357000424527
27,4327.802400046494
28,4116.219900024589
29,4133.749400032684
30,3944.1669000079855
