iteration,execution_time_ms
1,4590.540170669556
2,3401.4534950256348
3,3331.6831588745117
4,3357.3875427246094
5,3462.339162826538
6,3395.9460258483887
7,3428.1556606292725
8,3320.340394973755
9,3401.0674953460693
10,3411.433696746826
11,3361.4869117736816
12,3419.926404953003
13,3316.5853023529053
14,3337.765693664551
15,3428.924322128296
16,3354.222297668457
17,3368.4475421905518
18,3332.491397857666
19,3296.3900566101074
20,3449.2785930633545
21,3317.6372051239014
22,3518.9929008483887
23,3341.768741607666
24,3329.4315338134766
25,3392.1048641204834
26,3465.202808380127
27,3312.697649002075
28,3449.54514503479
29,3332.589864730835
30,3456.0391902923584
31,3388.7836933135986
