_id,from_id,to_id,properties
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:45897,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:0,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7162,"{""doseUnit"": ""MG"", ""route"": ""Oral"", ""doseAmount"": ""0.5"", ""indication"": ""Seizure"", ""drugSequence"": ""3""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:45898,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:0,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7163,"{""doseUnit"": ""MG"", ""route"": ""Oral"", ""doseAmount"": ""4"", ""indication"": ""Unknown"", ""drugSequence"": ""4""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:45899,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:0,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7164,"{""doseUnit"": ""MG"", ""route"": ""Oral"", ""doseAmount"": ""100"", ""indication"": ""Unknown"", ""drugSequence"": ""5""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:45900,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:0,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7165,"{""doseUnit"": ""MG"", ""route"": ""Oral"", ""doseAmount"": ""20"", ""indication"": ""Unknown"", ""drugSequence"": ""6""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:45901,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:0,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7166,"{""doseUnit"": ""MG"", ""route"": ""Oral"", ""doseAmount"": ""25"", ""indication"": ""Unknown"", ""drugSequence"": ""7""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:45902,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:0,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7167,"{""doseUnit"": ""MG"", ""route"": ""Oral"", ""doseAmount"": ""8"", ""indication"": ""Unknown"", ""drugSequence"": ""8""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:45903,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:0,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7168,"{""doseUnit"": ""MG"", ""route"": ""Oral"", ""doseAmount"": ""200"", ""indication"": ""Seizure"", ""drugSequence"": ""9""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:45904,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:0,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7169,"{""doseUnit"": ""DF"", ""route"": ""Oral"", ""doseAmount"": ""1"", ""indication"": ""Unknown"", ""drugSequence"": ""10""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:45905,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:1,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7171,"{""doseUnit"": ""MG"", ""route"": ""Oral"", ""doseAmount"": ""5"", ""indication"": ""Systemic lupus erythematosus"", ""drugSequence"": ""2""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:45906,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:1,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7172,"{""doseUnit"": ""UG"", ""route"": ""Subcutaneous"", ""doseAmount"": ""300"", ""indication"": ""Autoimmune neutropenia"", ""drugSequence"": ""3""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:45907,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:1,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7173,"{""doseUnit"": ""G"", ""route"": ""Intravenous (not otherwise specified)"", ""doseAmount"": ""1"", ""indication"": ""Infection"", ""drugSequence"": ""8""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:45908,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:1,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7174,"{""doseUnit"": ""MG"", ""route"": ""Intravenous (not otherwise specified)"", ""doseAmount"": ""500"", ""indication"": ""Infection"", ""drugSequence"": ""12""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:45909,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:1,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7175,"{""doseUnit"": ""MG"", ""route"": ""Intravenous (not otherwise specified)"", ""doseAmount"": ""250"", ""indication"": ""Infection"", ""drugSequence"": ""15""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:45910,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:2,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7177,"{""doseUnit"": ""MG"", ""route"": ""Oral"", ""doseAmount"": ""20"", ""indication"": ""Plasma cell myeloma"", ""drugSequence"": ""2""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:45911,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7171,"{""doseUnit"": ""MG"", ""route"": ""Oral"", ""doseAmount"": ""30"", ""indication"": ""Premedication"", ""drugSequence"": ""3""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:45912,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7180,"{""doseUnit"": ""MG"", ""route"": ""Oral"", ""doseAmount"": ""50"", ""indication"": ""Premedication"", ""drugSequence"": ""4""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:45913,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:5,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7181,"{""doseUnit"": ""MG"", ""route"": ""Unknown"", ""doseAmount"": ""100"", ""indication"": ""Unknown"", ""drugSequence"": ""5""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:45914,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:5,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7182,"{""doseUnit"": ""MG"", ""route"": ""Unknown"", ""doseAmount"": ""150"", ""indication"": ""Dyspepsia"", ""drugSequence"": ""8""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:45915,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:5,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7183,"{""doseUnit"": ""MG"", ""route"": ""Unknown"", ""doseAmount"": ""25"", ""indication"": ""Blood pressure abnormal"", ""drugSequence"": ""9""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:45916,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:5,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7184,"{""doseUnit"": ""MG"", ""route"": ""Unknown"", ""doseAmount"": ""0.2"", ""indication"": ""Blood pressure abnormal"", ""drugSequence"": ""10""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:45917,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:5,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7185,"{""doseUnit"": ""MG"", ""route"": ""Unknown"", ""doseAmount"": ""81"", ""indication"": ""Unknown"", ""drugSequence"": ""11""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:45918,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:17,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7192,"{""doseUnit"": ""MG"", ""route"": ""Unknown"", ""doseAmount"": ""5"", ""indication"": ""Restless legs syndrome"", ""drugSequence"": ""6""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:45919,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:17,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7193,"{""doseUnit"": ""MG"", ""route"": ""Unknown"", ""doseAmount"": ""200"", ""indication"": ""Narcolepsy"", ""drugSequence"": ""7""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:45920,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:17,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7194,"{""doseUnit"": ""MG"", ""route"": ""Oral"", ""doseAmount"": ""60"", ""indication"": ""Neuralgia"", ""drugSequence"": ""8""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:45921,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:17,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7181,"{""doseUnit"": ""MG"", ""route"": ""Oral"", ""doseAmount"": ""25"", ""indication"": ""Cardiac disorder"", ""drugSequence"": ""10""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:45922,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:17,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7195,"{""doseUnit"": ""MG"", ""route"": ""Oral"", ""doseAmount"": ""325"", ""indication"": ""Cardiovascular event prophylaxis"", ""drugSequence"": ""11""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:45923,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:17,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7196,"{""doseUnit"": ""MG"", ""route"": ""Unknown"", ""doseAmount"": ""75"", ""indication"": ""Unknown"", ""drugSequence"": ""13""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:45924,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:17,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7197,"{""doseUnit"": ""MG"", ""route"": ""Unknown"", ""doseAmount"": ""40"", ""indication"": ""Unknown"", ""drugSequence"": ""14""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:45925,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:18,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7188,"{""doseUnit"": ""MG"", ""route"": ""Subcutaneous"", ""doseAmount"": ""2.1"", ""indication"": ""Plasma cell myeloma"", ""drugSequence"": ""2""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:45926,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:18,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7177,"{""doseUnit"": ""MG"", ""route"": ""Oral"", ""doseAmount"": ""40"", ""indication"": ""Plasma cell myeloma"", ""drugSequence"": ""3""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:45927,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:18,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7198,"{""doseUnit"": ""MG"", ""route"": ""Intravenous drip"", ""doseAmount"": ""4"", ""indication"": ""Plasma cell myeloma"", ""drugSequence"": ""4""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:45928,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:30,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7200,"{""doseUnit"": ""MG"", ""route"": ""Unknown"", ""doseAmount"": ""300"", ""indication"": ""Unknown"", ""drugSequence"": ""6""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:45929,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:30,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7201,"{""doseUnit"": ""MG"", ""route"": ""Unknown"", ""doseAmount"": ""500"", ""indication"": ""Unknown"", ""drugSequence"": ""7""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:45930,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:30,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7202,"{""doseUnit"": ""MG"", ""route"": ""Unknown"", ""doseAmount"": ""500"", ""indication"": ""Pain"", ""drugSequence"": ""8""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:45931,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:30,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7203,"{""doseUnit"": ""MG"", ""route"": ""Unknown"", ""doseAmount"": ""20"", ""indication"": ""Unknown"", ""drugSequence"": ""9""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:45932,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:30,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7204,"{""doseUnit"": ""MG"", ""route"": ""Unknown"", ""doseAmount"": ""100"", ""indication"": ""Pain"", ""drugSequence"": ""11""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:45933,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:30,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7205,"{""doseUnit"": ""MG"", ""route"": ""Unknown"", ""doseAmount"": ""60"", ""indication"": ""Unknown"", ""drugSequence"": ""12""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:45934,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:32,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7207,"{""doseUnit"": ""MG"", ""route"": ""Unknown"", ""doseAmount"": ""800"", ""indication"": ""Unknown"", ""drugSequence"": ""2""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:45935,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:32,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7195,"{""doseUnit"": ""MG"", ""route"": ""Unknown"", ""doseAmount"": ""81"", ""indication"": ""Unknown"", ""drugSequence"": ""3""}"
