_id,from_id,to_id,properties
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:38451,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:0,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7160,"{""doseUnit"": ""MG"", ""route"": ""Oral"", ""doseAmount"": ""5"", ""indication"": ""Glioblastoma"", ""drugSequence"": ""1""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:38452,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:1,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7170,"{""doseUnit"": ""MG/KG"", ""route"": ""Intravenous (not otherwise specified)"", ""doseAmount"": ""10"", ""indication"": ""Systemic lupus erythematosus"", ""drugSequence"": ""1""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:38453,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:2,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7176,"{""doseUnit"": ""MG"", ""route"": ""Oral"", ""doseAmount"": ""15"", ""indication"": ""Plasma cell myeloma"", ""drugSequence"": ""1""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:38454,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:3,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7178,"{""doseUnit"": ""MG"", ""route"": ""Unknown"", ""doseAmount"": ""200"", ""indication"": ""Neuralgia"", ""drugSequence"": ""1""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:38455,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7179,"{""doseUnit"": ""MG"", ""route"": ""Intravenous drip"", ""doseAmount"": ""70"", ""indication"": ""Fabry's disease"", ""drugSequence"": ""1""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:38456,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:5,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7178,"{""doseUnit"": ""MG"", ""route"": ""Oral"", ""doseAmount"": ""50"", ""indication"": ""Diabetic neuropathy"", ""drugSequence"": ""1""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:38457,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:6,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7186,"{""doseUnit"": ""IU"", ""route"": ""Intravenous drip"", ""doseAmount"": ""3600"", ""indication"": ""Gaucher's disease"", ""drugSequence"": ""1""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:38458,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7187,"{""doseUnit"": ""MG"", ""route"": ""Oral"", ""doseAmount"": ""150"", ""indication"": ""Basal cell carcinoma"", ""drugSequence"": ""1""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:38459,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:8,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7176,"{""doseUnit"": ""MG"", ""route"": ""Oral"", ""doseAmount"": ""25"", ""indication"": ""Plasma cell myeloma"", ""drugSequence"": ""1""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:38460,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:9,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7176,"{""doseUnit"": ""MG"", ""route"": ""Oral"", ""doseAmount"": ""25"", ""indication"": ""Plasma cell myeloma"", ""drugSequence"": ""1""}"
