_id,from_id,to_id,properties
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:42281,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:0,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7161,"{""doseUnit"": ""MG"", ""route"": ""Oral"", ""doseAmount"": ""400"", ""indication"": ""Glioblastoma"", ""drugSequence"": ""2""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:42282,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:5,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7178,"{""doseUnit"": ""MG"", ""route"": ""Oral"", ""doseAmount"": ""75"", ""indication"": ""Pain in extremity"", ""drugSequence"": ""2""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:42283,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:6,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7186,"{""doseUnit"": ""IU"", ""route"": ""Intravenous drip"", ""doseAmount"": ""1600"", ""indication"": ""Lipidosis"", ""drugSequence"": ""2""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:42284,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:8,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7188,"{""doseUnit"": ""MG"", ""route"": ""Subcutaneous"", ""doseAmount"": ""2.3"", ""indication"": ""Plasma cell myeloma"", ""drugSequence"": ""2""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:42285,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:9,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7189,"{""doseUnit"": ""MG"", ""route"": ""Intravenous drip"", ""doseAmount"": ""59"", ""indication"": ""Plasma cell myeloma"", ""drugSequence"": ""2""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:42286,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:9,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7177,"{""doseUnit"": ""MG"", ""route"": ""Oral"", ""doseAmount"": ""10"", ""indication"": ""Plasma cell myeloma"", ""drugSequence"": ""3""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:42287,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:14,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7163,"{""doseUnit"": ""MG"", ""route"": ""Oral"", ""doseAmount"": ""20"", ""indication"": ""Plasma cell myeloma"", ""drugSequence"": ""2""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:42288,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:15,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7177,"{""doseUnit"": ""MG"", ""route"": ""Oral"", ""doseAmount"": ""10"", ""indication"": ""Plasma cell myeloma"", ""drugSequence"": ""2""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:42289,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:16,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7190,"{""doseUnit"": ""MG/M**2"", ""route"": ""Subcutaneous"", ""doseAmount"": ""1.3"", ""indication"": ""Plasma cell myeloma"", ""drugSequence"": ""2""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:42290,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:16,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7177,"{""doseUnit"": ""MG"", ""route"": ""Oral"", ""doseAmount"": ""40"", ""indication"": ""Plasma cell myeloma"", ""drugSequence"": ""3""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:42291,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:17,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7191,"{""doseUnit"": ""G"", ""route"": ""Oral"", ""doseAmount"": ""4.5"", ""indication"": ""Unknown"", ""drugSequence"": ""3""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:42292,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:19,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7177,"{""doseUnit"": ""MG"", ""route"": ""Oral"", ""doseAmount"": ""20"", ""indication"": ""Plasma cell myeloma"", ""drugSequence"": ""2""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:42293,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:20,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7163,"{""doseUnit"": ""MG"", ""route"": ""Oral"", ""doseAmount"": ""8"", ""indication"": ""Plasma cell myeloma"", ""drugSequence"": ""2""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:42294,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:22,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7163,"{""doseUnit"": ""MG"", ""route"": ""Oral"", ""doseAmount"": ""40"", ""indication"": ""Plasma cell myeloma"", ""drugSequence"": ""2""}"
