_id,from_id,to_id,properties
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:54338,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:9660,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7170,"{""endYear"": ""2014"", ""startYear"": ""2014"", ""drugSequence"": ""1""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:54339,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:9660,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7171,"{""endYear"": ""2014"", ""startYear"": ""2012"", ""drugSequence"": ""2""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:54340,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:9660,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7172,"{""endYear"": ""2014"", ""startYear"": ""2014"", ""drugSequence"": ""3""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:54341,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:9660,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7172,"{""endYear"": ""2014"", ""startYear"": ""2014"", ""drugSequence"": ""4""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:54342,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:9660,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7172,"{""endYear"": ""2014"", ""startYear"": ""2014"", ""drugSequence"": ""5""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:54343,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:9660,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7172,"{""endYear"": ""2014"", ""startYear"": ""2014"", ""drugSequence"": ""6""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:54344,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:9660,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7172,"{""endYear"": ""2014"", ""startYear"": ""2014"", ""drugSequence"": ""7""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:54345,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:9660,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7173,"{""endYear"": ""2014"", ""startYear"": ""2014"", ""drugSequence"": ""8""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:54346,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:9660,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7173,"{""endYear"": ""2014"", ""startYear"": ""2014"", ""drugSequence"": ""9""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:54347,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:9660,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7173,"{""endYear"": ""2014"", ""startYear"": ""2014"", ""drugSequence"": ""10""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:54348,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:9660,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7173,"{""endYear"": ""2014"", ""startYear"": ""2014"", ""drugSequence"": ""11""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:54349,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:9660,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7174,"{""endYear"": ""2014"", ""startYear"": ""2014"", ""drugSequence"": ""12""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:54350,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:9660,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7174,"{""endYear"": ""2014"", ""startYear"": ""2014"", ""drugSequence"": ""13""}"
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:54351,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:9660,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7174,"{""endYear"": ""2014"", ""startYear"": ""2014"", ""drugSequence"": ""14""}"
