_id,from_id,to_id,properties
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:8614,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:0,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4448,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:8615,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:1,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4449,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:8616,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:1,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4448,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:8617,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:1,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4450,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:8618,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:2,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4448,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:8619,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:3,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4450,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:8620,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:6,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4450,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:8621,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:6,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4449,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:8622,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4449,{}
5:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:8623,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:7,4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4450,{}
