_id,properties
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4454,"{""closeness"": 0.7941176470588235, ""class_id"": 2, ""degree"": 0.0, ""classe"": 2, ""pagerank"": 0.6171089132886907, ""description"": ""Pulmonary embolism"", ""betweenness"": 0.0, ""eigenvector"": 0.0024873541261306565}"
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4455,"{""closeness"": 0.6666666666666666, ""class_id"": 2, ""degree"": 0.0, ""classe"": 2, ""pagerank"": 0.1727119217024573, ""description"": ""Klebsiella sepsis"", ""betweenness"": 0.0, ""eigenvector"": 0.00012437116278065597}"
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4456,"{""closeness"": 0.759493670886076, ""class_id"": 2, ""degree"": 0.0, ""classe"": 2, ""pagerank"": 0.6097997065007179, ""description"": ""Myocardial infarction"", ""betweenness"": 0.0, ""eigenvector"": 0.0025495378883240785}"
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4457,"{""closeness"": 0.8991935483870968, ""class_id"": 2, ""degree"": 0.0, ""classe"": 2, ""pagerank"": 1.9885901744674384, ""description"": ""Fall"", ""betweenness"": 0.0, ""eigenvector"": 0.012312388552691157}"
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4458,"{""closeness"": 0.7857142857142857, ""class_id"": 2, ""degree"": 0.0, ""classe"": 2, ""pagerank"": 0.40272618595516113, ""description"": ""Hip fracture"", ""betweenness"": 0.0, ""eigenvector"": 0.00149241393103592}"
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4459,"{""closeness"": 0.8844984802431611, ""class_id"": 2, ""degree"": 0.0, ""classe"": 2, ""pagerank"": 2.3966807692030816, ""description"": ""Pain"", ""betweenness"": 0.0, ""eigenvector"": 0.015732495473329302}"
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4460,"{""closeness"": 0.7, ""class_id"": 2, ""degree"": 0.0, ""classe"": 2, ""pagerank"": 0.2657084548902956, ""description"": ""Body temperature increased"", ""betweenness"": 0.0, ""eigenvector"": 0.0007462087847148667}"
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4461,"{""closeness"": 0.8977272727272727, ""class_id"": 2, ""degree"": 0.0, ""classe"": 2, ""pagerank"": 1.7281662383323029, ""description"": ""COVID-19"", ""betweenness"": 0.0, ""eigenvector"": 0.008705730345472762}"
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4462,"{""closeness"": 0.8502994011976048, ""class_id"": 2, ""degree"": 0.0, ""classe"": 2, ""pagerank"": 1.1337976591360936, ""description"": ""Cough"", ""betweenness"": 0.0, ""eigenvector"": 0.007275503815024076}"
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4463,"{""closeness"": 0.7625, ""class_id"": 2, ""degree"": 0.0, ""classe"": 2, ""pagerank"": 0.6404901065302958, ""description"": ""Incorrect dose administered"", ""betweenness"": 0.0, ""eigenvector"": 0.0026117216505174993}"
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4464,"{""closeness"": 0.7659574468085106, ""class_id"": 2, ""degree"": 0.0, ""classe"": 2, ""pagerank"": 0.36815296623587135, ""description"": ""Nasal congestion"", ""betweenness"": 0.0, ""eigenvector"": 0.001554597693229341}"
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4465,"{""closeness"": 0.8518518518518519, ""class_id"": 2, ""degree"": 0.0, ""classe"": 2, ""pagerank"": 0.9012795058410362, ""description"": ""Nasopharyngitis"", ""betweenness"": 0.0, ""eigenvector"": 0.004725969565093813}"
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4466,"{""closeness"": 0.7681159420289855, ""class_id"": 2, ""degree"": 0.0, ""classe"": 2, ""pagerank"": 0.4422842472149853, ""description"": ""Oropharyngeal pain"", ""betweenness"": 0.0, ""eigenvector"": 0.0023008028395503943}"
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4467,"{""closeness"": 0.9228486646884273, ""class_id"": 2, ""degree"": 0.0, ""classe"": 2, ""pagerank"": 3.758586010595576, ""description"": ""Product dose omission issue"", ""betweenness"": 0.0, ""eigenvector"": 0.017722375863518776}"
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4468,"{""closeness"": 0.85, ""class_id"": 2, ""degree"": 0.0, ""classe"": 2, ""pagerank"": 0.3384353807268314, ""description"": ""SARS-CoV-2 test positive"", ""betweenness"": 0.0, ""eigenvector"": 0.0008705763091017089}"
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4469,"{""closeness"": 0.8243243243243243, ""class_id"": 2, ""degree"": 0.0, ""classe"": 2, ""pagerank"": 1.815986584172381, ""description"": ""Drug ineffective"", ""betweenness"": 0.0, ""eigenvector"": 0.008954465394246438}"
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4470,"{""closeness"": 0.8076923076923077, ""class_id"": 2, ""degree"": 0.0, ""classe"": 2, ""pagerank"": 0.8522397171875986, ""description"": ""Insomnia"", ""betweenness"": 0.0, ""eigenvector"": 0.0049747046138675}"
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4471,"{""closeness"": 0.8494623655913979, ""class_id"": 2, ""degree"": 0.0, ""classe"": 2, ""pagerank"": 0.6462465991013936, ""description"": ""Memory impairment"", ""betweenness"": 0.0, ""eigenvector"": 0.004041948180966182}"
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4472,"{""closeness"": 0.75, ""class_id"": 2, ""degree"": 0.0, ""classe"": 2, ""pagerank"": 0.2203696848859863, ""description"": ""Restlessness"", ""betweenness"": 0.0, ""eigenvector"": 0.0004974737359411825}"
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4473,"{""closeness"": 0.8590163934426229, ""class_id"": 2, ""degree"": 0.0, ""classe"": 2, ""pagerank"": 2.4854164089258086, ""description"": ""Diarrhoea"", ""betweenness"": 0.0, ""eigenvector"": 0.01361824755875299}"
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4474,"{""closeness"": 0.90625, ""class_id"": 2, ""degree"": 0.0, ""classe"": 2, ""pagerank"": 0.8954010264301855, ""description"": ""Infusion related reaction"", ""betweenness"": 0.0, ""eigenvector"": 0.004850337089480655}"
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4475,"{""closeness"": 0.6666666666666666, ""class_id"": 2, ""degree"": 0.0, ""classe"": 2, ""pagerank"": 0.18772450406596988, ""description"": ""Injection site discomfort"", ""betweenness"": 0.0, ""eigenvector"": 0.00018655492497407695}"
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4476,"{""closeness"": 0.7555555555555555, ""class_id"": 2, ""degree"": 0.0, ""classe"": 2, ""pagerank"": 0.3633551658493677, ""description"": ""Injection site swelling"", ""betweenness"": 0.0, ""eigenvector"": 0.0014302301688424988}"
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4477,"{""closeness"": 0.75, ""class_id"": 2, ""degree"": 0.0, ""classe"": 2, ""pagerank"": 0.2812962245411112, ""description"": ""Wrist fracture"", ""betweenness"": 0.0, ""eigenvector"": 0.0007462087847148667}"
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4478,"{""closeness"": 0.8591549295774648, ""class_id"": 2, ""degree"": 0.0, ""classe"": 2, ""pagerank"": 1.402316865920118, ""description"": ""Alopecia"", ""betweenness"": 0.0, ""eigenvector"": 0.006342747382122758}"
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4479,"{""closeness"": 0.8217821782178217, ""class_id"": 2, ""degree"": 0.0, ""classe"": 2, ""pagerank"": 0.8495109656361893, ""description"": ""Atrial fibrillation"", ""betweenness"": 0.0, ""eigenvector"": 0.004041948180966182}"
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4480,"{""closeness"": 0.8875, ""class_id"": 2, ""degree"": 0.0, ""classe"": 2, ""pagerank"": 0.7426382877942731, ""description"": ""Bronchitis"", ""betweenness"": 0.0, ""eigenvector"": 0.003855396894385921}"
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4481,"{""closeness"": 0.8423076923076923, ""class_id"": 2, ""degree"": 0.0, ""classe"": 2, ""pagerank"": 1.7722430152574424, ""description"": ""Dizziness"", ""betweenness"": 0.0, ""eigenvector"": 0.011068713308822743}"
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:4482,"{""closeness"": 0.8266666666666667, ""class_id"": 2, ""degree"": 0.0, ""classe"": 2, ""pagerank"": 0.9765379890664244, ""description"": ""Feeling abnormal"", ""betweenness"": 0.0, ""eigenvector"": 0.0060940123333490795}"
