_id,properties
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:9660,"{""closeness"": 0.6666666666666666, ""class_id"": 5, ""degree"": 15.0, ""classe"": 5, ""pagerank"": 0.15994435687263556, ""betweenness"": 0.0, ""eigenvector"": 6.218740058723483e-05, ""primaryid"": 101678656}"
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:9661,"{""closeness"": 0.6666666666666666, ""class_id"": 5, ""degree"": 2.0, ""classe"": 5, ""pagerank"": 0.1682413523976024, ""betweenness"": 0.0, ""eigenvector"": 6.218740058723483e-05, ""primaryid"": 101980392}"
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:9662,"{""closeness"": 0.6666666666666666, ""class_id"": 5, ""degree"": 2.0, ""classe"": 5, ""pagerank"": 0.15853168859649125, ""betweenness"": 0.0, ""eigenvector"": 6.218740058723483e-05, ""primaryid"": 103829296}"
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:9663,"{""closeness"": 0.6666666666666666, ""class_id"": 5, ""degree"": 1.0, ""classe"": 5, ""pagerank"": 0.15852508680555558, ""betweenness"": 0.0, ""eigenvector"": 6.218740058723483e-05, ""primaryid"": 104833856}"
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:9664,"{""closeness"": 0.6666666666666666, ""class_id"": 5, ""degree"": 2.0, ""classe"": 5, ""pagerank"": 0.1682413523976024, ""betweenness"": 0.0, ""eigenvector"": 6.218740058723483e-05, ""primaryid"": 107082202}"
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:9665,"{""closeness"": 0.6666666666666666, ""class_id"": 5, ""degree"": 3.0, ""classe"": 5, ""pagerank"": 0.1659611833479021, ""betweenness"": 0.0, ""eigenvector"": 6.218740058723483e-05, ""primaryid"": 107341882}"
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:9666,"{""closeness"": 0.6666666666666666, ""class_id"": 5, ""degree"": 1.0, ""classe"": 5, ""pagerank"": 0.17128157779720282, ""betweenness"": 0.0, ""eigenvector"": 6.218740058723483e-05, ""primaryid"": 107526832}"
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:9667,"{""closeness"": 0.6666666666666666, ""class_id"": 5, ""degree"": 1.0, ""classe"": 5, ""pagerank"": 0.1682413523976024, ""betweenness"": 0.0, ""eigenvector"": 6.218740058723483e-05, ""primaryid"": 108604323}"
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:9668,"{""closeness"": 0.6666666666666666, ""class_id"": 5, ""degree"": 1.0, ""classe"": 5, ""pagerank"": 0.1682413523976024, ""betweenness"": 0.0, ""eigenvector"": 6.218740058723483e-05, ""primaryid"": 108930083}"
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:9669,"{""closeness"": 0.6666666666666666, ""class_id"": 5, ""degree"": 3.0, ""classe"": 5, ""pagerank"": 0.1659611833479021, ""betweenness"": 0.0, ""eigenvector"": 6.218740058723483e-05, ""primaryid"": 109543792}"
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:9670,"{""closeness"": 0.6666666666666666, ""class_id"": 5, ""degree"": 3.0, ""classe"": 5, ""pagerank"": 0.1558576086956522, ""betweenness"": 0.0, ""eigenvector"": 6.218740058723483e-05, ""primaryid"": 109680226}"
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:9671,"{""closeness"": 0.6666666666666666, ""class_id"": 5, ""degree"": 4.0, ""classe"": 5, ""pagerank"": 0.16418771853146855, ""betweenness"": 0.0, ""eigenvector"": 6.218740058723483e-05, ""primaryid"": 109705882}"
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:9672,"{""closeness"": 0.6666666666666666, ""class_id"": 5, ""degree"": 2.0, ""classe"": 5, ""pagerank"": 0.1682413523976024, ""betweenness"": 0.0, ""eigenvector"": 6.218740058723483e-05, ""primaryid"": 109793992}"
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:9673,"{""closeness"": 0.6666666666666666, ""class_id"": 5, ""degree"": 1.0, ""classe"": 5, ""pagerank"": 0.1682413523976024, ""betweenness"": 0.0, ""eigenvector"": 6.218740058723483e-05, ""primaryid"": 109953332}"
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:9674,"{""closeness"": 0.6666666666666666, ""class_id"": 5, ""degree"": 3.0, ""classe"": 5, ""pagerank"": 0.1659611833479021, ""betweenness"": 0.0, ""eigenvector"": 6.218740058723483e-05, ""primaryid"": 110229263}"
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:9675,"{""closeness"": 0.6666666666666666, ""class_id"": 5, ""degree"": 2.0, ""classe"": 5, ""pagerank"": 0.16160813334392882, ""betweenness"": 0.0, ""eigenvector"": 6.218740058723483e-05, ""primaryid"": 110450415}"
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:9676,"{""closeness"": 0.6666666666666666, ""class_id"": 5, ""degree"": 2.0, ""classe"": 5, ""pagerank"": 0.1682413523976024, ""betweenness"": 0.0, ""eigenvector"": 6.218740058723483e-05, ""primaryid"": 110839482}"
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:9677,"{""closeness"": 0.6666666666666666, ""class_id"": 5, ""degree"": 2.0, ""classe"": 5, ""pagerank"": 0.16160813334392882, ""betweenness"": 0.0, ""eigenvector"": 6.218740058723483e-05, ""primaryid"": 111048356}"
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:9678,"{""closeness"": 0.6666666666666666, ""class_id"": 5, ""degree"": 1.0, ""classe"": 5, ""pagerank"": 0.1682413523976024, ""betweenness"": 0.0, ""eigenvector"": 6.218740058723483e-05, ""primaryid"": 111234763}"
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:9679,"{""closeness"": 0.6666666666666666, ""class_id"": 5, ""degree"": 1.0, ""classe"": 5, ""pagerank"": 0.17128157779720282, ""betweenness"": 0.0, ""eigenvector"": 6.218740058723483e-05, ""primaryid"": 111530912}"
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:9680,"{""closeness"": 0.6666666666666666, ""class_id"": 5, ""degree"": 3.0, ""classe"": 5, ""pagerank"": 0.15751114510489514, ""betweenness"": 0.0, ""eigenvector"": 6.218740058723483e-05, ""primaryid"": 111791005}"
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:9681,"{""closeness"": 0.6666666666666666, ""class_id"": 5, ""degree"": 1.0, ""classe"": 5, ""pagerank"": 0.17128157779720282, ""betweenness"": 0.0, ""eigenvector"": 6.218740058723483e-05, ""primaryid"": 111811932}"
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:9682,"{""closeness"": 0.6666666666666666, ""class_id"": 5, ""degree"": 1.0, ""classe"": 5, ""pagerank"": 0.16064078889860142, ""betweenness"": 0.0, ""eigenvector"": 6.218740058723483e-05, ""primaryid"": 111935483}"
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:9683,"{""closeness"": 0.6666666666666666, ""class_id"": 5, ""degree"": 1.0, ""classe"": 5, ""pagerank"": 0.1627689466783217, ""betweenness"": 0.0, ""eigenvector"": 6.218740058723483e-05, ""primaryid"": 111950182}"
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:9684,"{""closeness"": 0.6666666666666666, ""class_id"": 5, ""degree"": 2.0, ""classe"": 5, ""pagerank"": 0.1682413523976024, ""betweenness"": 0.0, ""eigenvector"": 6.218740058723483e-05, ""primaryid"": 112334352}"
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:9685,"{""closeness"": 0.6666666666666666, ""class_id"": 5, ""degree"": 2.0, ""classe"": 5, ""pagerank"": 0.15853168859649125, ""betweenness"": 0.0, ""eigenvector"": 6.218740058723483e-05, ""primaryid"": 114273577}"
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:9686,"{""closeness"": 0.6666666666666666, ""class_id"": 5, ""degree"": 1.0, ""classe"": 5, ""pagerank"": 0.1558576086956522, ""betweenness"": 0.0, ""eigenvector"": 6.218740058723483e-05, ""primaryid"": 114790362}"
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:9687,"{""closeness"": 0.6666666666666666, ""class_id"": 5, ""degree"": 2.0, ""classe"": 5, ""pagerank"": 0.1622477272727273, ""betweenness"": 0.0, ""eigenvector"": 6.218740058723483e-05, ""primaryid"": 114807992}"
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:9688,"{""closeness"": 0.6666666666666666, ""class_id"": 5, ""degree"": 1.0, ""classe"": 5, ""pagerank"": 0.1724541666666667, ""betweenness"": 0.0, ""eigenvector"": 6.218740058723483e-05, ""primaryid"": 114878542}"
4:a4ea6acb-b5fc-4a33-a21a-e4f10b877c39:9689,"{""closeness"": 0.6666666666666666, ""class_id"": 5, ""degree"": 1.0, ""classe"": 5, ""pagerank"": 0.17557526041666668, ""betweenness"": 0.0, ""eigenvector"": 6.218740058723483e-05, ""primaryid"": 114885984}"
